"number_of_reviews","love","value_price","level","online","exclusives","limit"
42,4100,61.5,"high","0","0","0"
70,6000,56,"high","0","0","0"
98,7500,56,"high","0","0","0"
8,493,100,"high","0","0","0"
1000,31100,50,"high","0","0","0"
828,14300,50,"high","0","0","0"
130,6300,50,"high","0","0","0"
48,2100,60,"high","0","0","0"
572,9300,50,"high","0","0","0"
193,7800,42,"high","0","0","0"
72,1500,50,"high","1","0","0"
35,2200,50,"high","0","0","0"
420,2500,50,"high","0","0","1"
103,2100,50,"high","0","0","0"
21,1200,96,"high","0","0","0"
54,2500,96,"high","0","0","0"
27,764,96,"high","0","0","0"
11,689,96,"high","0","0","0"
18,1100,96,"high","0","0","0"
8,677,96,"high","0","0","0"
14,793,96,"high","0","0","0"
3000,47300,30,"high","0","1","0"
151,8600,77,"high","0","1","0"
77,3300,77,"high","0","1","0"
71,3700,77,"high","0","1","0"
68,3600,77,"high","0","1","0"
28,2400,77,"high","0","1","0"
37,2900,77,"high","0","1","0"
13,3200,48,"high","0","1","0"
73,4400,77,"high","0","1","0"
1,294,27,"high","0","0","0"
2,244,27,"high","0","0","0"
39,2800,77,"high","0","1","0"
20,1700,77,"high","0","1","0"
1000,45200,126,"high","0","0","0"
20,1900,76,"high","0","0","0"
101,8400,126,"high","0","0","0"
87,5200,126,"median","0","1","0"
116,7400,102,"high","0","0","0"
150,8300,102,"high","0","0","0"
214,6500,126,"high","0","0","0"
5,746,150,"high","0","1","0"
7,434,150,"high","0","1","0"
6,934,150,"high","0","1","0"
4,564,150,"median","0","1","0"
3,289,150,"median","0","1","0"
2,596,150,"median","0","1","0"
490,2100,98,"high","0","0","0"
531,14400,82,"high","0","0","0"
6,1200,98,"high","0","0","0"
20,2700,48,"high","0","0","0"
20,1200,78,"high","0","0","0"
103,454,78,"high","0","0","0"
11,778,78,"high","0","0","0"
9,525,78,"high","0","0","0"
3,763,29,"high","0","0","0"
3,477,78,"high","0","0","0"
9,343,78,"high","0","0","0"
6,345,78,"high","0","0","0"
2,410,29,"high","0","0","0"
6,341,29,"high","0","0","0"
1,284,29,"high","0","0","0"
3,362,29,"high","0","0","0"
59,12400,78,"median","0","1","0"
531,16800,76,"high","0","0","0"
420,10300,76,"high","0","0","0"
531,14900,76,"high","0","0","0"
416,10900,76,"high","0","0","0"
194,7200,76,"high","0","0","0"
155,7500,76,"high","0","0","0"
45,3500,76,"high","0","0","0"
51,2600,76,"high","0","0","0"
159,5600,76,"high","0","0","0"
76,2300,42,"high","0","0","0"
87,12400,240,"high","0","0","0"
132,18000,240,"high","0","0","0"
94,12200,335,"median","1","0","0"
1000,32100,128,"high","0","0","0"
161,15600,240,"high","0","0","0"
20,4300,335,"median","0","0","0"
223,11400,240,"median","0","0","0"
93,7100,128,"high","0","0","0"
60,8400,335,"high","0","0","0"
17,3700,240,"high","0","0","0"
118,9500,90,"high","0","1","0"
23,3300,240,"high","0","0","0"
271,13200,128,"high","0","0","0"
30,4000,240,"high","0","0","0"
171,2900,195,"median","0","0","0"
34,5300,240,"high","0","0","0"
25,3400,49,"high","0","1","0"
1,755,60,"median","0","0","0"
81,3500,128,"median","0","0","0"
34,5600,240,"high","0","0","0"
187,9800,128,"high","0","0","0"
200,4900,128,"high","0","0","0"
32,5700,240,"high","0","0","0"
7,811,128,"high","0","0","0"
13,1900,49,"high","0","1","0"
8,1700,240,"high","0","0","0"
18,3100,70,"high","0","0","0"
29,4400,240,"high","0","0","0"
8,1800,240,"high","0","0","0"
18,2400,128,"high","0","0","0"
9,1200,240,"high","0","0","0"
22,6200,325,"high","0","0","0"
0,195,240,"low","0","0","0"
2,630,180,"high","0","0","0"
11,1900,49,"high","0","1","0"
2,701,49,"high","0","0","0"
16,1500,335,"high","0","0","0"
8,2700,240,"high","0","0","0"
18,2400,240,"high","0","0","0"
19,2200,240,"high","1","0","0"
53,3000,110,"high","0","0","0"
11,2000,240,"median","0","0","0"
17,1800,240,"high","0","0","0"
7,1400,70,"high","0","0","0"
3,468,70,"high","0","0","0"
5,1000,70,"high","0","0","0"
6,618,235,"high","0","0","0"
2,319,180,"high","0","0","0"
26,2700,240,"high","0","0","0"
16,1700,125,"high","0","0","0"
4,953,60,"median","0","0","0"
6,974,49,"high","0","0","0"
7,1400,240,"high","0","0","0"
3,244,70,"median","1","0","0"
442,22100,100,"high","0","0","0"
147,6500,130,"high","0","0","0"
21,2000,130,"high","0","0","0"
9,1100,30,"high","0","1","0"
12,654,120,"high","0","0","0"
428,9700,100,"high","0","0","0"
1000,90200,95,"high","0","0","0"
173,15100,92,"high","0","0","0"
144,10100,115,"high","1","0","0"
61,12100,30,"high","0","1","1"
274,14500,60,"high","0","0","0"
205,13200,125,"high","0","0","0"
125,7200,95,"high","0","0","0"
27,5800,32,"high","0","0","0"
8,3400,32,"high","0","0","0"
5,1000,30,"high","0","0","0"
38,4300,99,"high","0","0","0"
4000,144700,165,"high","0","0","0"
216,19100,98,"high","0","0","0"
167,552,165,"high","0","0","0"
189,17700,120,"high","0","0","0"
182,6500,115,"high","0","0","0"
90,4200,145,"high","0","0","0"
39,2200,145,"high","0","0","0"
90,7700,95,"high","0","0","0"
75,2500,145,"median","0","0","0"
12,1200,145,"high","1","0","0"
13,1400,145,"median","0","0","0"
32,3500,145,"high","0","0","0"
4,458,145,"high","1","0","0"
5,1300,145,"median","1","0","0"
5000,105300,124,"high","0","0","0"
343,19200,104,"high","0","0","0"
638,43700,97,"high","0","0","0"
32,4600,102,"high","0","0","0"
0,388,128,"low","0","0","0"
168,2600,112,"high","0","1","0"
164,4200,62,"high","0","0","0"
16,2600,74,"high","0","0","0"
260,11200,94,"high","0","1","0"
31,3100,97,"high","0","0","0"
666,10200,39,"high","0","0","0"
185,6200,94,"high","0","1","1"
15,1900,87,"high","0","0","0"
213,8400,79,"high","0","1","0"
29,1300,79,"high","0","1","0"
50,718,79,"high","0","1","0"
38,1800,79,"high","0","1","0"
31,1700,79,"high","0","1","0"
44,1900,79,"high","0","1","0"
34,1500,79,"high","0","1","0"
22,955,79,"high","0","1","0"
56,5500,17,"high","0","1","0"
